,name,priceOld,priceNew,warranty,card,cpu,ram_size,ram_type,hard_driver,touch_screen,panel,screen_size,resolution,os,size,weight
0,Laptop Lenovo Ideapad Yoga 6 13ALC6 82ND00BDVN - Cũ Đẹp,16.800.000đ,10.990.000đ,"Bảo hành 6 tháng tại CellphoneS không loại trừ linh kiện, bảo hành cả nguồn, màn hình. 1 đổi 1 trong 30 ngày nếu có lỗi phần cứng từ nhà sản xuất(xem chi tiết)",Integrated AMD Radeon Graphics,"AMD Ryzen 7-5700U (8 nhân 16 luồng, 1.8GHz - 4.3GHz)",8GB,DDR4 3200Mhz,512GB SSD M.2 2242 PCIe 3.0x4 NVMe,Có,Tấm nền IPS,13.3 inches,1920 x 1080 pixels (FullHD),Windows 11 Home SL,308.1 x 206.8 x 17.01-18.19 mm,1.31 kg
1,Surface Pro 7 Core i5 / 8GB / 128GB - Trầy xước,21.700.000đ,10.090.000đ,"Bảo hành 6 tháng tại CellphoneS không loại trừ linh kiện, bảo hành cả nguồn, màn hình. 1 đổi 1 trong 30 ngày nếu có lỗi phần cứng từ nhà sản xuất(xem chi tiết)",Intel® Iris® Plus Graphics,10th Gen Intel® Core™ i5-1035G4,,,128GB BGA PCIe SSD,,,12.3 inches,2736 x 1824 pixels,Windows 10 Home,292 mm x 201 mm x 8.5 mm,776 g
2,Laptop Asus Zenbook 14 UX3402ZA-KM221W - Cũ Đẹp,29.300.000đ,17.890.000đ,"Bảo hành 6 tháng tại CellphoneS không loại trừ linh kiện, bảo hành cả nguồn, màn hình. 1 đổi 1 trong 30 ngày nếu có lỗi phần cứng từ nhà sản xuất(xem chi tiết)",Intel® Iris Xe Graphics,"Intel® Core™ i7-1260P 2.1 GHz (18M Cache, up to 4.7 GHz, 4P+8E cores)  Intel Evo™ Platform",16GB,16GB LPDDR5 on board,512GB M.2 NVMe™ PCIe® 3.0 SSD,,Tấm nền OLED/AMOLED,14 inches,2880 x 1800 pixels,Windows 11 Home - ASUS đề xuất Windows 11 Pro cho doanh nghiệp,31.36 x 22.06 x 1.69 ~ 1.69 cm (W x H x D),1.39 kg (Bao gồm pin)
3,Laptop Lenovo IdeaPad 3 14ITL6 82H701QYVN - Đã Kích Hoạt,15.490.000đ,10.790.000đ,"Bảo hành 12 tháng tại CellphoneS không loại trừ linh kiện, bảo hành cả nguồn, màn hình. 1 đổi 1 trong 30 ngày nếu có lỗi phần cứng từ nhà sản xuất. (xem chi tiết)",Intel Iris Xe Graphics,"Intel Core i5-1155G7 (4 lõi / 8 luồng, 2.5 / 4.5GHz, 8MB)",16GB,DDR4-3200,512GB SSD M.2 2242 PCIe 4.0x4 NVMe,Không,Tấm nền IPS,14 inches,1920 x 1080 pixels (FullHD),Windows 11 Home Single Language,324.2 x 215.7 x 19.9 mm (W x D x H),1.41 kg
4,Surface Pro 7 Core i5 / 8GB / 128GB -  Cũ Xước Cấn,21.700.000đ,9.090.000đ,"Bảo hành 6 tháng tại CellphoneS không loại trừ linh kiện, bảo hành cả nguồn, màn hình. 1 đổi 1 trong 30 ngày nếu có lỗi phần cứng từ nhà sản xuất(xem chi tiết)",Intel® Iris® Plus Graphics,10th Gen Intel® Core™ i5-1035G4,,,128GB BGA PCIe SSD,,,12.3 inches,2736 x 1824 pixels,Windows 10 Home,292 mm x 201 mm x 8.5 mm,776 g
5,Laptop LG Gram 2021 17ZD90P-G.AX71A5 17 - Cũ Trầy Xước,44.900.000đ,17.090.000đ,"Bảo hành 6 tháng tại CellphoneS không loại trừ linh kiện, bảo hành cả nguồn, màn hình. 1 đổi 1 trong 30 ngày nếu có lỗi phần cứng từ nhà sản xuất(xem chi tiết)",Intel Iris Xe Graphics,"Intel Core™ i7-1165G7, tốc độ 2.80GHz tối đa 4.70GHz, 4 nhân 8 luồng, 12MB bộ nhớ đệm",16GB,"LPDDR4x 4266MHz, không hỗ trợ nâng cấp",256GB SSD PCIe NVMe M.2,Không,Tấm nền IPS,17 inches,2560 x 1600 pixels (2K),Non-OS,380.2 x 260.1 x 17.8mm,1.35kg
6,Laptop Dell Vostro 3500 7G3981 - Cũ trầy xước,19.190.000đ,8.490.000đ,"Bảo hành 6 tháng tại CellphoneS không loại trừ linh kiện, bảo hành cả nguồn, màn hình. 1 đổi 1 trong 30 ngày nếu có lỗi phần cứng từ nhà sản xuất(xem chi tiết)",Intel Iris Xe Graphics,"Intel Core i5-1135G7, 4 nhân 8 luồng, tốc độ tối đa 4.2GHz, 8MB bộ nhớ đệm",8GB,"DDR4 3200MHz, 2 khe cắm, hỗ trợ tối đa 16GB",256GB M.2 PCIe NVMe,Không,Tấm nền VA,15.6 inches,1920 x 1080 pixels (FullHD),Windows 10 Home SL,363.96 mm x 249.0 mm x 18.0 mm,1.78 kg
7,Laptop Asus Vivobook Slate OLED T3304GA-LQ021WS - Đã Kích Hoạt,19.990.000đ,10.990.000đ,"Bảo hành 12 tháng tại CellphoneS không loại trừ linh kiện, bảo hành cả nguồn, màn hình. 1 đổi 1 trong 30 ngày nếu có lỗi phần cứng từ nhà sản xuất. (xem chi tiết)",Intel® UHD Graphics,"Intel® Core™ i3-N300 Processor 0.8 GHz (6MB Cache, up to 3.8 GHz, 8 cores, 8 Threads)",8GB,8GB LPDDR5,256GB UFS 2.1,Có,Tấm nền OLED/AMOLED,13.3 inches,1920 x 1080 pixels (FullHD),Windows 11 Home,30.99 x 19.00 x 0.89 ~ 0.89 cm,0.82 kg
8,Surface Pro 7 Core i3 / 4GB / 128GB Chính Hãng - Cũ Đẹp,18.990.000đ,8.490.000đ,"Bảo hành 6 tháng tại CellphoneS không loại trừ linh kiện, bảo hành cả nguồn, màn hình. 1 đổi 1 trong 30 ngày nếu có lỗi phần cứng từ nhà sản xuất(xem chi tiết)","Intel® UHD Graphics, 300 MHz to 900 MHz, 32 Execution Units",10th Gen Intel® Core™ i3-1005G1,,,128GB BGA PCIe SSD,,,12.3 inches,2736 x 1824 pixels,"PixelSense™ Display , Aspect ratio: 3:2",292 mm x 201 mm x 8.5 mm,775 g
9,Surface Laptop 4  - Cũ Đẹp,20.600.000đ,12.090.000đ,"Bảo hành 6 tháng tại CellphoneS không loại trừ linh kiện, bảo hành cả nguồn, màn hình. 1 đổi 1 trong 30 ngày nếu có lỗi phần cứng từ nhà sản xuất(xem chi tiết)",AMD Radeon Graphics,AMD Ryzen 5 4680U 6 nhân,8GB,LPDDR4,128GB SSD,Có,Tấm nền IPS,13.5 inches,2256 x 1504 pixels,Window 10 Home,308 x 223 x 14.5 mm,1.27 kg
